ProductID,ProductName,Category,UnitPrice,StockQuantity,Supplier
2085,Electronics-Officer,Home,242.15,34,"ABC, Inc"
2086,Home-Of,Home,894.1,228,"DMFC, Inc"
2087,Electronics-Rather,Clothing,159.32,231,"DMFC, Inc"
2088,Office-Evening,Clothing,709.35,434,"DMFC, Inc"
2089,Electronics-Action,Office,413.52,76,"DMFC, Inc"
2090,Office-Staff,Office,71.64,480,"DMFC, Inc"
2091,Office-Mrs,Office,905.79,492,"XYZ, Inc"
2092,Electronics-Add,Office,482.21,494,"ABC, Inc"
2093,Home-Real,Home,755.94,342,"ABC, Inc"
2094,Office-Fight,Clothing,493.35,410,"XYZ, Inc"
2095,Home-Seem,Office,490.79,16,"ABC, Inc"
2096,Office-Discuss,Home,672.18,127,"XYZ, Inc"
2097,Office-Recent,Clothing,842.1,313,"ABC, Inc"
2098,Clothing-Trouble,Electronics,907.86,80,"ABC, Inc"
2099,Electronics-Several,Electronics,646.32,378,"ABC, Inc"
